phase,pc1
0.035269,-37.927683
0.111295,56.726650
0.187322,220.718083
0.267574,339.912491
0.332463,248.563188
0.384299,-12.053814
0.425768,-276.491609
0.467120,-454.456900
0.523810,-623.071764
0.569049,-539.620769
0.623583,-270.256459
0.667671,-39.472666
0.702948,131.710900
0.757370,230.685702
0.802445,200.658368
0.868481,125.834371
0.954498,22.207214
1.000000,7.042254
