phase,pc1
0.035269,327.945854
0.111295,369.459088
0.187322,460.731123
0.242630,558.046693
0.297052,572.514452
0.351474,446.137140
0.387755,247.691950
0.418857,12.337202
0.449959,-236.969524
0.484516,-520.058629
0.517007,-721.711220
0.566893,-855.162722
0.612379,-762.781180
0.671127,-512.918370
0.726418,-285.106645
0.789116,-78.949890
0.879819,34.364920
0.954498,102.211561
0.995967,142.505770
