phase,pc1
0.043798,-363.632821
0.119648,-250.500039
0.195469,-76.899735
0.271333,5.999287
0.333497,-125.849633
0.379325,-367.838728
0.419488,-618.320908
0.485618,-798.608864
0.540754,-658.168169
0.575133,-397.260566
0.606057,-127.126789
0.641894,266.423358
0.676992,507.299270
0.716079,686.063849
0.756670,791.970803
0.817751,689.781022
0.864500,545.493116
0.940489,361.977439
0.988845,246.568997
