phase,pc1
0.036668,125.959048
0.098698,281.307634
0.181369,561.910373
0.253831,541.234382
0.305706,279.468530
0.336887,1.014509
0.381988,-529.669267
0.399357,-781.541419
0.427086,-1055.108190
0.458261,-1319.019664
0.499527,-1492.700730
0.548679,-1186.131387
0.597749,-704.379562
0.628052,-251.824818
0.672468,142.335766
0.723103,422.688781
0.788599,541.429438
0.856752,513.877705
0.940439,467.307960
